"ID","Title","President"
"12757","Implementation of the Enterprise for the Americas Initiative","41 - George H. W. Bush"
"12758","Addition to Level IV of the Executive Schedule","41 - George H. W. Bush"
"12773","Amending Executive Order 10480","41 - George H. W. Bush"
"12774","Continuance of Certain Federal Advisory Committees","41 - George H. W. Bush"
"12777","Implementation of Section 311 of the Federal Water Pollution Control Act of October 18, 1972, as Amended, and the Oil Pollution Act of 1990","41 - George H. W. Bush"
"12780","Federal Agency Recycling and the Council on Federal Recycling and Procurement Policy","41 - George H. W. Bush"
"12787","The Order of Succession of Officers To Act as Secretary of Defense","41 - George H. W. Bush"
"12788","Defense Economic Adjustment Program","41 - George H. W. Bush"
"12816","Management Improvement in the Federal Government","41 - George H. W. Bush"
"12821","Improving Mathematics and Science Education in Support of the National Education Goals","41 - George H. W. Bush"
"12829","National Industrial Security Program","41 - George H. W. Bush"
"12835","Establishment of the National Economic Council","42 - William J. Clinton"
"12849","Implementation of Agreement With the European Community on Government Procurement","42 - William J. Clinton"
"12854","Implementation of the Cuban Democracy Act","42 - William J. Clinton"
"12859","Establishment of the Domestic Policy Council","42 - William J. Clinton"
"12860","Adding Members to the Committee on Foreign Investment in the United States","42 - William J. Clinton"
"12869","Continuance of Certain Federal Advisory Committees","42 - William J. Clinton"
"12870","Trade Promotion Coordinating Committee","42 - William J. Clinton"
"12873","Federal Acquisition and Waste Prevention","42 - William J. Clinton"
"12881","Establishment of the National Science and Technology Council","42 - William J. Clinton"
"12882","President's Committee of Advisors on Science and Technology","42 - William J. Clinton"
"12889","Implementation of the North American Free Trade Agreement","42 - William J. Clinton"
"12891","Advisory Committee on Human Radiation Experiments","42 - William J. Clinton"
"12898","Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations","42 - William J. Clinton"
"12902","Energy Efficiency and Water Conservation at Federal Facilities","42 - William J. Clinton"
"12906","Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure","42 - William J. Clinton"
"12910","Providing for the Closing of Government Departments and Agencies on April 27, 1994","42 - William J. Clinton"
"12916","Implementation of the Border Environment Cooperation Commission and the North American Development Bank","42 - William J. Clinton"
"12919","National Defense Industrial Resources Preparedness","42 - William J. Clinton"
"12928","Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions","42 - William J. Clinton"
"12933","Nondisplacement of Qualified Workers Under Certain Contracts","42 - William J. Clinton"
"12938","Proliferation of Weapons of Mass Destruction","42 - William J. Clinton"
"12946","President's Advisory Board on Arms Proliferation Policy","42 - William J. Clinton"
"12953","Actions Required of All Executive Agencies To Facilitate Payment of Child Support","42 - William J. Clinton"
"12954","Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts","42 - William J. Clinton"
"12958","Classified National Security Information","42 - William J. Clinton"
"12961","Presidential Advisory Committee on Gulf War Veterans' Illnesses","42 - William J. Clinton"
"12962","Recreational Fisheries","42 - William J. Clinton"
"12966","Foreign Disaster Assistance","42 - William J. Clinton"
"12969","Federal Acquisition and Community Right-To-Know","42 - William J. Clinton"
"12974","Continuance of Certain Federal Advisory Committees","42 - William J. Clinton"
"12977","Interagency Security Committee","42 - William J. Clinton"
"12979","Agency Procurement Protests","42 - William J. Clinton"
"12989","Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions","42 - William J. Clinton"
"12999","Educational Technology: Ensuring Opportunity for All Children in the Next Century","42 - William J. Clinton"
"13000","Order of Succession of Officers To Act as Secretary of Defense","42 - William J. Clinton"
"13005","Empowerment Contracting","42 - William J. Clinton"
"13010","Critical Infrastructure Protection","42 - William J. Clinton"
"13011","Federal Information Technology","42 - William J. Clinton"
