"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"Observance of Holidays by Government Agencies","1952","33-Truman",FALSE,"",471,0,"9636","10508; 10523; 10580; 10744; 10792; 10825; 10856; 11064; 11226; 11272; 11503; 11573; 11582","http://www.presidency.ucsb.edu/ws/index.php?pid=78468"
"Inspection of Income, Excess-Profits, Estate, and Gift Tax Returns by the Senate Committee on Government Operations","1967","36-Johnson",FALSE,"__economy__; __DOTr__",207,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106079"
"Creating an Emergency Board to Investigate a Dispute Between the Monongahela Connecting Railroad Company and Certain of Its Employees","1949","33-Truman",FALSE,"",257,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=78266"
"Amendment to Executive Order 13045, Extending the Task Force on Environmental Health Risks and Safety Risks to Children","2001","43-G. W. Bush",FALSE,"__environment__; __health__",120,0,"13045","","http://www.presidency.ucsb.edu/ws/index.php?pid=61510"
"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Tuesday, December 24, 2002","2002","43-G. W. Bush",FALSE,"__security__",211,0,"11582","","http://www.presidency.ucsb.edu/ws/index.php?pid=61348"
"Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union","1994","42-Clinton",FALSE,"",332,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=49033"
"Specification of Laws from Which the Escapee Program Administered by the Department of State Shall Be Exempt","1952","33-Truman",FALSE,"__State__; __security__",170,0,"","10446","http://www.presidency.ucsb.edu/ws/index.php?pid=78510"
"Sale of Certain Combatant Vessels of the Navy","1945","33-Truman",FALSE,"",139,0,"","9986","http://www.presidency.ucsb.edu/ws/index.php?pid=77854"
"Extension of the President's Commission on Registration and Voting Participation","1963","36-Johnson",FALSE,"",67,0,"11100","","http://www.presidency.ucsb.edu/ws/index.php?pid=106288"
"Establishing the President's Foreign Intelligence Advisory Board","1961","35-Kennedy",FALSE,"__foreign__; __security__; __CIA__",353,0,"10656","11460","http://www.presidency.ucsb.edu/ws/index.php?pid=58876"
"Amendment of the Regulations Governing the Appointment of Postmasters of the Fourth Class","1946","33-Truman",FALSE,"",153,0,"","10017; 10869","http://www.presidency.ucsb.edu/ws/index.php?pid=60703"
"Providing for the Appointment of Certain Persons Under the Defense Production Act of 1950, as Amended","1955","34-Eisenhower",FALSE,"",2353,0,"10182; 10205","11355; 12107; 12919","http://www.presidency.ucsb.edu/ws/index.php?pid=59252"
"Reserving and Placing Certain Resources of the Continental Shelf Under the Control and Jurisdiction of the Secretary of the Interior","1945","33-Truman",FALSE,"__DOI__",163,0,"","10426","http://www.presidency.ucsb.edu/ws/index.php?pid=60676"
"President's Commission on Aviation Security and Terrorism","1989","41-H.W. Bush",FALSE,"__security__; __DOT__; __GSA__",577,0,"","12705; 12774","http://www.presidency.ucsb.edu/ws/index.php?pid=23534"
"Providing for Payment of Separate Maintenance Allowances to Employees Assigned to Johnston Island","1992","41-H.W. Bush",FALSE,"",130,0,"11609","","http://www.presidency.ucsb.edu/ws/index.php?pid=23640"
"Hostage Relief Act of 1980","1981","39-Carter",FALSE,"__State__",147,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=44525"
