"num","title","link","year","word.count","president","party","eoMatches","matchWords","st.flag","matchWords.num","stMatch.count","stMatchRatio","PropSTtopic"
"12069","Executive Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=31027","1978",107,"39-Jimmy Carter","D","","__DOT__; __science/research__",TRUE,2,1,0.00934579439252336,0.103450297237279
"13041","Further Amendment to Executive Order 13010, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=53960","1997",164,"42-William J. Clinton","D","13010","__economy__; __OSTP__",TRUE,2,2,0.0121951219512195,0.102564825759538
"11095","Assigning Emergency Preparedness Functions to: The Board of Directors of the Tennessee Valley Authority; The Railroad Retirement Board; The Administrator of the National Aeronautics and Space Administration; The Federal Power Commission; The Director of the National Science Foundation","http://www.presidency.ucsb.edu/ws/index.php?pid=59034","1963",1850,"35-John F. Kennedy","D","10952","__NASA__; __NSF__; __DOI__; __DOD__; __health__; __education__; __USDA__; __DOC__; __science/research__; __economy__; __DOL__; __technology__; __medical__; __OSTP__; __engineering__; __war__; __math__",TRUE,17,37,0.02,0.102232760932371
"13111","Using Technology To Improve Training Opportunities for Federal Government Employees","http://www.presidency.ucsb.edu/ws/index.php?pid=57256","1999",2325,"42-William J. Clinton","D","11348","__technology__; __education__; __State__; __HHS__; __HUD__; __energy__; __EPA__; __security__; __DOL__; __economy__; __science/research__; __university__; __innovation__; __DOD__; __NIST__; __computing__; __OMB__; __budget__",TRUE,18,57,0.0245161290322581,0.100116449264826
"12894","North Pacific Marine Science Organization","http://www.presidency.ucsb.edu/ws/index.php?pid=50476","1994",148,"42-William J. Clinton","D","","__science/research__",TRUE,1,3,0.0202702702702703,0.100001166660833
"13089","Coral Reef Protection","http://www.presidency.ucsb.edu/ws/index.php?pid=56122","1998",1331,"42-William J. Clinton","D","","__environment__; __health__; __economy__; __education__; __science/research__; __war__; __security__; __DOI__; __DOC__; __NOAA__; __EPA__; __DOJ__; __USDA__; __DOD__; __State__; __DOT__; __NSF__; __NASA__",TRUE,18,19,0.01427498121713,0.100000071428495
"12618","Uniform Treatment of Federally Funded Inventions","http://www.presidency.ucsb.edu/ws/index.php?pid=33850","1987",256,"40-Ronald Reagan","R","12591","__science/research__",TRUE,1,2,0.0078125,0.0963859340945317
"13107","Implementation of Human Rights Treaties","http://www.presidency.ucsb.edu/ws/index.php?pid=55386","1998",1179,"42-William J. Clinton","D","","__security__; __State__; __DOJ__; __DOL__; __DOD__; __education__",FALSE,6,0,0,0.0957944694950265
"12428","President's Commission on Industrial Competitiveness","http://www.presidency.ucsb.edu/ws/index.php?pid=41529","1983",419,"40-Ronald Reagan","R","","__technology__; __DOC__",TRUE,2,4,0.00954653937947494,0.0952385163577786
"10887","Designating the Department of Commerce To Perform Functions With Respect to Participation of the United States in the Century 21 Exposition","http://www.presidency.ucsb.edu/ws/index.php?pid=106552","1960",220,"34-Dwight D. Eisenhower","R","","__DOC__; __State__; __NSF__; __science/research__",TRUE,4,2,0.00909090909090909,0.0923082366805281
"13218","21st Century Workforce Initiative","http://www.presidency.ucsb.edu/ws/index.php?pid=61499","2001",1146,"43-George W. Bush","R","13111; 13174","__DOL__; __education__; __technology__; __science/research__; __economy__",TRUE,5,9,0.00785340314136126,0.0911529364832121
"11411","Amending Executive Order No. 11394, Relating to the President's Commission for the Observance of Human Rights Year 1968","http://www.presidency.ucsb.edu/ws/index.php?pid=106185","1968",105,"36-Lyndon B. Johnson","D","11394","",FALSE,0,0,0,0.0909110192603726
"12898","Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations","http://www.presidency.ucsb.edu/ws/index.php?pid=49631","1994",1707,"42-William J. Clinton","D","11001; 11050; 12856; 12250; 12875","__environment__; __health__; __EPA__; __DOD__; __HHS__; __HUD__; __DOL__; __USDA__; __DOT__; __DOJ__; __DOI__; __DOC__; __DOE__; __OMB__; __OSTP__; __economy__; __science/research__",TRUE,17,7,0.00410076157000586,0.0894161592918255
