"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio","energy.flag","medical.flag"
"12974","Continuance of Certain Federal Advisory Committees","http://www.presidency.ucsb.edu/ws/index.php?pid=50582","1995",494,"42-William J. Clinton","D","__DOI__; __health__; __DOL__; __education__; __DOEd__; __university__; __PCAST__; __OSTP__; __art__; __HHS__; __science/research__; __NSF__; __DOC__; __security__; __DOD__; __environment__; __GSA__",TRUE,0.0121457489878543,TRUE,FALSE
"10657","Transferring to the Housing and Home Finance Administrator Certain Functions of the Atomic Energy Commission Under the Atomic Energy Community Act of 1955","http://www.presidency.ucsb.edu/ws/index.php?pid=106363","1956",825,"34-Dwight D. Eisenhower","R","__AEC__; __nuclear__; __energy__",TRUE,0.0121212121212121,TRUE,FALSE
"10824","Designating the National Aeronautics and Space Administration as an Agency To Have Certain Contractual Authority Under the Assignment of Claims Act of 1940, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=106515","1959",417,"34-Dwight D. Eisenhower","R","__NASA__; __DOD__; __GSA__; __AEC__; __war__; __security__",TRUE,0.0119904076738609,TRUE,FALSE
"10841","Providing for the Carrying Out of Certain Provisions of the Atomic Energy Act of 1954, as Amended, Relating to International Cooperation","http://www.presidency.ucsb.edu/ws/index.php?pid=59278","1959",504,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __DOD__; __AEC__; __security__; __State__; __foreign__",TRUE,0.0119047619047619,TRUE,FALSE
"12240","Nuclear Safety Oversight Committee","http://www.presidency.ucsb.edu/ws/index.php?pid=45146","1980",169,"39-Jimmy Carter","D","__nuclear__",TRUE,0.0118343195266272,TRUE,FALSE
"11189","Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule","http://www.presidency.ucsb.edu/ws/index.php?pid=106280","1964",254,"36-Lyndon B. Johnson","D","__science/research__; __State__; __AEC__; __DOC__; __DOD__; __security__; __DOI__; __DOL__",TRUE,0.0118110236220472,TRUE,FALSE
"9908","Reservation of Source Material in Certain Lands Owned by the United States","http://www.presidency.ucsb.edu/ws/index.php?pid=78153","1947",594,"33-Harry S. Truman","D","__nuclear__; __energy__; __AEC__",TRUE,0.0117845117845118,TRUE,FALSE
"12784","Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves","http://www.presidency.ucsb.edu/ws/index.php?pid=20374","1991",170,"41-George H. W. Bush","R","__DOE__",TRUE,0.0117647058823529,TRUE,FALSE
"11162","Adding the Postmaster General to the Membership of the President's Committee on Equal Employment Opportunity","http://www.presidency.ucsb.edu/ws/index.php?pid=106265","1964",172,"36-Lyndon B. Johnson","D","__DOD__; __DOJ__; __DOC__; __health__; __education__; __AEC__; __NASA__; __GSA__",TRUE,0.0116279069767442,TRUE,FALSE
"13695","Termination of Emergency With Respect to the Risk of Nuclear Proliferation Created by the Accumulation of a Large Volume of Weapons-Usable Fissile Material in the Territory of the Russian Federation","http://www.presidency.ucsb.edu/ws/index.php?pid=110240","2015",345,"44-Barack Obama","D","__nuclear__; __economy__",TRUE,0.0115942028985507,TRUE,FALSE
