"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio"
"12121","Energy Coordinating Committee","http://www.presidency.ucsb.edu/ws/index.php?pid=31957","1979",93,"39-Jimmy Carter","D","__energy__",TRUE,0.021505376344086
"11770","International Symposium on Geothermal Energy-1975","http://www.presidency.ucsb.edu/ws/index.php?pid=106791","1974",194,"37-Richard Nixon","R","__energy__; __education__; __DOI__; __computing__",TRUE,0.0206185567010309
"12894","North Pacific Marine Science Organization","http://www.presidency.ucsb.edu/ws/index.php?pid=50476","1994",148,"42-William J. Clinton","D","__science/research__",TRUE,0.0202702702702703
"11095","Assigning Emergency Preparedness Functions to: The Board of Directors of the Tennessee Valley Authority; The Railroad Retirement Board; The Administrator of the National Aeronautics and Space Administration; The Federal Power Commission; The Director of the National Science Foundation","http://www.presidency.ucsb.edu/ws/index.php?pid=59034","1963",1850,"35-John F. Kennedy","D","__NASA__; __NSF__; __DOI__; __DOD__; __health__; __education__; __USDA__; __DOC__; __science/research__; __economy__; __DOL__; __technology__; __medical__; __OSTP__; __engineering__; __war__; __math__",TRUE,0.02
"12956","Israel-United States Binational Industrial Research and Development Foundation","http://www.presidency.ucsb.edu/ws/index.php?pid=51096","1995",152,"42-William J. Clinton","D","__science/research__",TRUE,0.0197368421052632
"12020","Educational Benefits for Veterans and Dependents","http://www.presidency.ucsb.edu/ws/index.php?pid=6903","1977",256,"39-Jimmy Carter","D","__education__; __energy__",TRUE,0.01953125
"11760","Designating the European Space Research Organization (ESRO) as a Public International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities","http://www.presidency.ucsb.edu/ws/index.php?pid=106783","1974",103,"37-Richard Nixon","R","__science/research__",TRUE,0.0194174757281553
"13511","Continuance of Certain Federal Advisory Committees","http://www.presidency.ucsb.edu/ws/index.php?pid=86712","2009",416,"44-Barack Obama","D","__DOI__; __DHS__; __health__; __DOL__; __university__; __DOEd__; __HHS__; __art__; __science/research__; __NSF__; __PCAST__; __OSTP__; __DOC__; __security__; __environment__; __GSA__",TRUE,0.0192307692307692
"10799","Providing Further for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=106497","1959",218,"34-Dwight D. Eisenhower","R","__NSF__; __OMB__; __science/research__",TRUE,0.018348623853211
"11748","Federal Energy Office","http://www.presidency.ucsb.edu/ws/index.php?pid=106773","1973",627,"37-Richard Nixon","R","__energy__; __economy__; __DOTr__; __foreign__; __GSA__",TRUE,0.0175438596491228
"13326","Presidents Commission on Implementation of United States Space Exploration Policy","http://www.presidency.ucsb.edu/ws/index.php?pid=61421","2004",701,"43-George W. Bush","R","__science/research__; __budget__; __technology__; __math__; __engineering__; __NASA__; __GSA__",TRUE,0.0171184022824536
"12661","Implementing the Omnibus Trade and Competitiveness Act of 1988 and Related International Trade Matters","http://www.presidency.ucsb.edu/ws/index.php?pid=35298","1988",2879,"40-Ronald Reagan","R","__economy__; __foreign__; __security__; __DOC__; __energy__; __DOJ__; __OMB__; __DOTr__; __DOD__; __technology__; __State__; __OSTP__; __budget__; __science/research__; __DOE__; __NSF__; __NASA__; __engineering__; __NIST__; __DOT__; __university__",TRUE,0.0170197985411601
"13215","Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=61496","2001",295,"43-George W. Bush","R","__technology__; __computing__; __science/research__",TRUE,0.0169491525423729
"9568","Providing for the Release of Scientific Information","http://www.presidency.ucsb.edu/ws/index.php?pid=60663","1945",891,"33-Harry S. Truman","D","__science/research__; __security__; __war__; __DOD__; __State__; __foreign__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __OSTP__; __NASA__",TRUE,0.0168350168350168
"11932","Classification of Certain Information and Material Obtained From Advisory Bodies Created to Implement the International Energy Program","http://www.presidency.ucsb.edu/ws/index.php?pid=59206","1976",535,"38-Gerald R. Ford","R","__energy__; __foreign__; __security__; __State__; __DOJ__",TRUE,0.0168224299065421
"12961","Presidential Advisory Committee on Gulf War Veterans' Illnesses","http://www.presidency.ucsb.edu/ws/index.php?pid=51416","1995",781,"42-William J. Clinton","D","__war__; __DOD__; __VA__; __HHS__; __science/research__; __medical__; __health__; __NIH__; __technology__; __environment__; __GSA__",TRUE,0.0166453265044814
"12517","Delegation Concerning the United States- India Fund for Cultural, Educational, and Scientific Cooperation","http://www.presidency.ucsb.edu/ws/index.php?pid=38703","1985",183,"40-Ronald Reagan","R","__education__; __science/research__; __State__; __DOC__; __DOTr__",TRUE,0.0163934426229508
"9913","Terminating the Office of Scientific Research and Development and Providing for the Completion of Its Liquidation","http://www.presidency.ucsb.edu/ws/index.php?pid=78155","1947",253,"33-Harry S. Truman","D","__OSTP__; __OMB__",TRUE,0.0158102766798419
"13225","Continuance of Certain Federal Advisory Committees","http://www.presidency.ucsb.edu/ws/index.php?pid=61506","2001",580,"43-George W. Bush","R","__DOI__; __health__; __DOL__; __education__; __DOEd__; __university__; __art__; __science/research__; __NSF__; __HHS__; __DOC__; __security__; __DOD__; __environment__; __GSA__; __energy__; __economy__; __war__",TRUE,0.0155172413793103
"12509","Technical Review Group on Inertial Confinement Fusion","http://www.presidency.ucsb.edu/ws/index.php?pid=38464","1985",387,"40-Ronald Reagan","R","__DOD__; __OSTP__; __energy__; __science/research__; __DOE__",TRUE,0.0155038759689922
"9673","Transfer of Certain Production Research and Development Functions from the Civilian Production Administration to the Department of Commerce","http://www.presidency.ucsb.edu/ws/index.php?pid=78049","1946",194,"33-Harry S. Truman","D","__science/research__; __DOC__; __war__; __OMB__",TRUE,0.0154639175257732
"12129","Critical Energy Facility Program","http://www.presidency.ucsb.edu/ws/index.php?pid=32160","1979",656,"39-Jimmy Carter","D","__energy__; __OMB__; __nuclear__; __DOI__; __USDA__; __DOC__; __DOT__; __DOE__; __EPA__; __CEQ__; __DOD__",TRUE,0.0152439024390244
"12346","Synthetic Fuels","http://www.presidency.ucsb.edu/ws/index.php?pid=42021","1982",395,"40-Ronald Reagan","R","__DOE__; __energy__; __security__",TRUE,0.0151898734177215
